plan_id,plan_name,total_credits,notes
calculus_abc,Calculus ABC Plan,197,MA 113 must be completed in summer between Year 1 and Year 2

elective_credits
hssa_credits,tech_credits,ms_credits,free_credits
24,12,4,8

pre_rhit_credits
course_id,title,credits
